Text	Label
Environmental Mode: This is the real-time operations that must react to varying degrees of readiness to full scale wartime operations such as crisis planning with the use of heterogeneous data types and sources, transfer capabilities, data management services.	nonsec
XML Services shall be segmented.	nonsec
COE sponsors shall adhere to compliance level requirements described in the I&RTS.	nonsec
In the fixed (static) mode of operation (base or data processing megacenter), the data management services shall have the capability of being tuned by on-site personnel to adjust for varying workloads and sizes of associated databases.	nonsec
These workloads and databases are expected to change more frequently and to a greater extent than for processing associated with deployed units	nonsec
In a changing (dynamic) environment, such as with deployed units, the workload and database sizes may be more predetermined (given a more precise mission) and require access to fewer data management administrative capabilities than needed in a fixed environment.	nonsec
The XS shall have the ability to redefine or reset names of connect descriptors to database server instances. C	nonsec
onnect descriptors are fully qualified object names and include address (protocol/host/port) and instance name.	nonsec
In a degraded communications environment, there is a need, for example, to be able to reset session time-out values if the data management services are being accessed by users affected by the communications degradation.	nonsec
At a minimum, the session time-out values shall be user definable and be able to be reset prior to initialization of a user session.	nonsec
The goal is to provide the option of dynamically changing session time values based on current communications performance identified by capabilities of the network management or DBMS.	nonsec
End User Mode: Portion of XS services shall be used by various classes of users: data consumers, data and database managers, network information infrastructure resource managers.	nonsec
Some of these uses of the data management services will entail unique requirements that shall be fulfilled within the capability of XS services.	nonsec
Maintenance Mode: This mode includes modification and/or addition of application data segments, user permission, privileges, and restructuring storage and memory areas.	nonsec
In addition, maintenance also shall pertain to shutdown, open not-mounted and online/off-line implementations, modifications, upgrade, or other related actions.	nonsec
The data management services shall support managing various types of data, database architectures and platforms that includes hardware and software at the specified sites.	nonsec
Training Mode. In support of training activities, the data management services shall provide for the same processing as would be encountered in a production environment.	nonsec
However, access to the database may be via a training application access to the DBMS rather than from the production mission application.	nonsec
The XS shall deliver inter-related components as shown in figure 3.2-1.	nonsec
The Registry shall provide standard APIs as specified in Appendix B.	nonsec
The XS function shall provide standard APIs as specified in Appendix C.	nonsec
The XS shall internally interface (transparent to the operator) with the existing data elements of the DBIF, DAC, and COTS RDBMS products.	nonsec
The Registry software shall be portable and required to execute on COE-compliant platforms.	nonsec
Personnel requirements shall be determined by the developers of the system in which the XS module is embedded.	nonsec
Training requirements shall be determined by the developers of the system in which the XS module is embedded.	nonsec
The XS developer is responsible for software maintenance, software support, and software updates. The DISA Configuration Manager (CM) is responsible for distribution of the XS product to system developers.	nonsec
The XS software shall be delivered in accordance with DII COE guidelines.	nonsec
The following table depicts the mapping of the requirements in Section 3 to their corresponding precedence and criticality code and to other related requirements within the XS SRS.	nonsec
The precedence and criticality codes are the following: 1 for Essential (E), 2 for Desirable (D), 3 for Optional (O).	nonsec
Customers will be able to create accounts to store their customer profiles, configure contact information, view their purchase history, and confirm orders.	nonsec
Customers will be able to register, log in, and log out of their accounts.	nonsec
Furthermore, Customer profiles will also include payment information, such as the ability to store credit card information, and address information.	nonsec
Products will be stored in multi-tiered categories; a category can contain sub categories or products.	nonsec
The inventory management will allow for administrators to update the categories, the products placed in categories, and the specific product details.	nonsec
Customers will also be able to add products into the shopping cart.	nonsec
The shopping cart will clearly display the number of items in the cart, along with the total cost.	nonsec
The customer will also be able to add to or remove products from the shopping cart prior to checkout and order confirmation.	nonsec
Customers will be able to confirm the order after checkout.	nonsec
If the order is incorrect, the customer will be able to revise and update their order.	nonsec
The customer will then receive a confirmation email with the specific order details.	nonsec
Customers will be presented with an unambiguous interface to assist in browsing the categories and products.	nonsec
Customers will be able to search for products matching their search criteria.	nonsec
The interface will be compatible with all major web browsers such as Internet Explorer, Mozilla Navigator, Mozilla Firefox, Opera, and Safari.	nonsec
The system will implement an Application Interface to allow for various plug-ins to interact with the system.	nonsec
The plug-in API will be well documented and specifications will be provided to plug-in developers.	nonsec
The order database of WebOrder will communicate with the account system through a programmatic interface for the billing operations.	nonsec
Through programmatic interface, WebOrder will transmit information of items ordered by customers to the Inventory management system.	nonsec
The WebOrder system shall send an e-mail confirmation to the customer that the items they ordered will be delivered to the shipping address along with tracking number.	nonsec
The WebOrder system shall send an e-mail to System Administrator regarding any technical queries from customers or sales people.	nonsec
Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.	nonsec
The system shall be able to handle 1000 customers logged in concurrently at the same time.	nonsec
The system shall be able to retrieve 200 products per second.	nonsec
The system shall be able to add product to shopping cart in less than 2ms.	nonsec
The system shall be able to search for a specified product in less than 1 second.	nonsec
The system shall be able to email customer and vendor in less than 1 second.	nonsec
The system shall be able to validate credit card in less than 2 seconds.	nonsec
The system shall be able to acquire shipping charges in less than 2 seconds.	nonsec
The system shall be able to restore 1000 records per second.	nonsec
The system will do periodic backups through a live internet connection.	nonsec
The system shall validate credit cards against fraud.	sec
The system shall encrypt all sensitive information via https.	sec
The system shall encrypt all customer data in database.	sec
The system shall auto detect IP DOS attacks and block IP automatically.	sec
The system shall detect consecutive failed login attempts.	sec
The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/	sec
The system shall have an availability of 99.99%.	nonsec
The system shall perform searches via Dijkstra's shortest path algorithm.	nonsec
For returning customers, the system shall validate 'existing' credit card in system after each log in.	nonsec
The system shall automatically compress image files that are too large in size.	nonsec
The system will employ on demand asynchronous loading for faster execution of pages.	nonsec
The system shall validate email address existence.	nonsec
The system shall be easy to use.	nonsec
The system shall be easy to learn.	nonsec
The system shall utilize help bubbles to assist managers, customers, and administrators	nonsec
The system shall employ easy to locate buttons	nonsec
The system shall prompt customer with friend easy to read error messages.	nonsec
The system shall utilize consistent symbols and colors for clear notifications.	nonsec
The system shall utilize interchangeable plugins.	nonsec
The system shall be easily updatable for fixes and patches.	nonsec
The system shall create logs of all changes, updates, or fixes that are done to the site.	nonsec
The system shall be easy to upgrade.	nonsec
The system shall be extremely portable via the usb drive.	nonsec
The system shall be easy to migrate or backed up via another usb drive.	nonsec
